Store,Manager,E-mail
Iguatemi Esplanada,Helena,lorem_ipsum+helena@gmail.com
Shopping Midway Mall,Alice,lorem_ipsum+alice@gmail.com
Norte Shopping,Laura,lorem_ipsum+laura@gmail.com
Shopping Iguatemi Fortaleza,Manuela,lorem_ipsum+manuela@gmail.com
Shopping União de Osasco,Valentina,lorem_ipsum+valentina@gmail.com
Shopping Center Interlagos,Sophia,lorem_ipsum+sophia@gmail.com
Rio Mar Recife,Isabella,lorem_ipsum+isabella@gmail.com
Salvador Shopping,Heloisa,lorem_ipsum+heloisa@gmail.com
Rio Mar Shopping Fortaleza,Luiza,lorem_ipsum+luiza@gmail.com
Shopping Center Leste Aricanduva,Julia,lorem_ipsum+julia@gmail.com
Ribeirão Shopping,Lorena,lorem_ipsum+lorena@gmail.com
Shopping Morumbi,Livia,lorem_ipsum+livia@gmail.com
Parque Dom Pedro Shopping,Maria Luiza,lorem_ipsum+maria_luiza@gmail.com
Bourbon Shopping SP,Cecilia,lorem_ipsum+cecilia@gmail.com
Palladium Shopping Curitiba,Eloa,lorem_ipsum+eloa@gmail.com
Passei das Águas Shopping,Miguel,lorem_ipsum+miguel@gmail.com
Center Shopping Uberlândia,Arthur,lorem_ipsum+arthur@gmail.com
Shopping Recife,Heitor,lorem_ipsum+heitor@gmail.com
Shopping Vila Velha,Bernardo,lorem_ipsum+bernardo@gmail.com
Shopping SP Market,Davi,lorem_ipsum+davi@gmail.com
Shopping Eldorado,Theo,lorem_ipsum+theo@gmail.com
Shopping Ibirapuera,Lorenzo,lorem_ipsum+lorenzo@gmail.com
Novo Shopping Ribeirão Preto,Gabriel,lorem_ipsum+gabriel@gmail.com
Iguatemi Campinas,Pedro,lorem_ipsum+pedro@gmail.com
Shopping Barra,Benjamin,lorem_ipsum+benjamin@gmail.com
Diretoria,Diretoria,lorem_ipsum+diretoria@gmail.com
